Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
42,35,Female  ,CS1_Positive_CS2_Negative,0.317708527,4.25,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
121,40,Male    ,CS1_Positive_CS2_Negative,-0.33800727,8,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
150,26,Male    ,CS2_Positive_CS1_Negative,-0.939270826,-4,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
229,40,Male    ,CS2_Positive_CS1_Negative,-1.072555209,-6.5,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
248,24,Male    ,CS2_Positive_CS1_Negative,-0.628423188,-6,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
326,39,Male    ,CS2_Positive_CS1_Negative,-0.722005036,-2.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
330,34,Female  ,CS1_Positive_CS2_Negative,0.301440757,6,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
342,38,Male    ,CS2_Positive_CS1_Negative,-0.185924976,-0.25,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
371,32,Female  ,CS1_Positive_CS2_Negative,0.286221827,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
419,36,Female  ,CS1_Positive_CS2_Negative,0.556244127,4.75,bothMoragandStruan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
422,30,Female  ,CS2_Positive_CS1_Negative,0.475392603,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
450,27,Female  ,CS1_Positive_CS2_Negative,0.602881313,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
465,29,Female  ,CS1_Positive_CS2_Negative,0.350860383,10,Idon'tknow,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
467,26,Male    ,CS1_Positive_CS2_Negative,0.757056988,5.75,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
490,31,Female  ,CS1_Positive_CS2_Negative,0.002604327,6.25,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
493,33,Female  ,CS2_Positive_CS1_Negative,0.201652924,0.5,Idon'tknow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
536,39,Female  ,CS2_Positive_CS1_Negative,-0.973692547,-9.25,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
105,29,Female  ,CS1_Positive_CS2_Negative,0.719771255,-1,neitherBrand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
412,21,Female  ,CS1_Positive_CS2_Negative,0.364368852,5,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
436,30,Female  ,CS1_Positive_CS2_Negative,0.453749774,3,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
10,25,Male    ,CS1_Positive_CS2_Negative,-0.126935865,0,Idon'tknow,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
39,41,Female  ,CS2_Positive_CS1_Negative,0.393067611,0,Idon'tknow,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
70,39,Male    ,CS2_Positive_CS1_Negative,-0.043280411,-0.5,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
98,27,Male    ,CS1_Positive_CS2_Negative,0.120882069,10,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
103,30,Female  ,CS2_Positive_CS1_Negative,0.246506254,-2.5,Struan,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
106,34,Male    ,CS1_Positive_CS2_Negative,0.595236828,0,Idon'tknow,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
157,23,Male    ,CS2_Positive_CS1_Negative,0.214937595,-0.75,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
163,40,Female  ,CS1_Positive_CS2_Negative,0.965352232,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
200,34,Male    ,CS2_Positive_CS1_Negative,-0.375767622,0,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
262,40,Female  ,CS2_Positive_CS1_Negative,-0.417146801,0,Idon'tknow,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
274,23,Male    ,CS1_Positive_CS2_Negative,-0.215249029,-5.75,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
305,29,Male    ,CS1_Positive_CS2_Negative,-0.345465203,-4.25,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
351,28,Female  ,CS2_Positive_CS1_Negative,-0.316459132,0,neitherBrand,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
360,31,Female  ,CS2_Positive_CS1_Negative,0.749115518,0.75,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
