Participant,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
181,CS1_Positive_CS2_Negative,0.6864403355676947,10,Morag,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
44,CS2_Positive_CS1_Negative,5.037681663407345e-4,-5.5,Struan,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
88,CS1_Positive_CS2_Negative,0.4617198585962334,9.5,Morag,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
185,CS2_Positive_CS1_Negative,-0.5554625744047049,-9,Struan,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
31,CS2_Positive_CS1_Negative,0.5560300347148404,0.5,Morag,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
69,CS1_Positive_CS2_Negative,0.1589117073745795,-3.25,bothMoragandStruan,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
124,CS2_Positive_CS1_Negative,0.3577820404330385,-3.25,Struan,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
75,CS2_Positive_CS1_Negative,-0.5517958663132532,-10,Struan,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
190,CS2_Positive_CS1_Negative,-1.0901565595064473,-9,Struan,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
45,CS2_Positive_CS1_Negative,-0.12223142346019988,-6,Struan,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
186,CS2_Positive_CS1_Negative,-0.44838865020781593,1.75,Morag,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
64,CS2_Positive_CS1_Negative,-0.005379586643841194,0.25,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
115,CS1_Positive_CS2_Negative,0.6424316762012772,-0.5,Struan,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
49,CS1_Positive_CS2_Negative,0.17420085233658278,0,Struan,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
42,CS2_Positive_CS1_Negative,-0.7816636367708336,-2.25,Morag,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
