Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,us_valence_contingency_memory,CS_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
643,21,female  ,CS1_Positive_CS2_Negative,-0.499990644,-7,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
647,35,female  ,CS2_Positive_CS1_Negative,-0.13738181,-6.25,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
653,21,female  ,CS2_Positive_CS1_Negative,-0.823259536,-6.75,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
670,24,female  ,CS2_Positive_CS1_Negative,-0.286419786,-3,Struan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
674,22,female  ,CS1_Positive_CS2_Negative,0.442072991,2,Morag,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
699,39,male    ,CS1_Positive_CS2_Negative,-0.289726629,-6,Struan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
703,40,male    ,CS2_Positive_CS1_Negative,-1.13321933,-5.25,Struan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
713,28,female  ,CS1_Positive_CS2_Negative,0.480187796,10,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
716,21,female  ,CS1_Positive_CS2_Negative,0.37061936,0.5,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
726,20,female  ,CS2_Positive_CS1_Negative,-0.290050487,-1.25,neitherBrand,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
